feature,mean_abs_shap
age,0.5558879765698137
total_cholesterol,0.2134833785634984
cigsPerDay,0.21173574222990024
sex,0.2021280963810922
pulse_pressure,0.13681400682515243
systolic_bp,0.13093358003367525
fasting_glucose,0.11339528138649208
map,0.11108361614812899
diastolic_bp,0.10603141698178278
heart_rate,0.09348636237840226
education,0.07845362648451891
bmi,0.07038071782319805
prevalentHyp,0.06603006382424062
BPMeds,0.00608693675617415
currentSmoker,0.005417940833580329
diabetes,0.00236039770004729
prevalentStroke,0.00023847055697405248
